W3-0R0    0  0  3  1  946.42192 6.20e-02 9.03e+08 
W4-0R0    0  0  4  1  929.52992 3.42e-02 1.10e+09 
W5-0R0    0  0  5  1  914.39456 2.43e-02 1.09e+09 
W6-0R0    0  0  6  1  900.79678 1.65e-02 1.07e+09 
W7-0R0    0  0  7  1  888.64907 1.15e-02 1.05e+09 
W8-0R0    0  0  8  1  877.82409 4.75e-03 9.61e+08 
W9-0R0    0  0  9  1  868.40239 3.63e-03 9.89e+08 
W10-0R0   0  0 10  1  860.30815 2.68e-03 6.55e+08 
W11-0R0   0  0 11  1  853.60197 1.72e-03 6.20e+08 
W12-0R0   0  0 12  1  848.40151 1.11e-03 4.09e+08 
W13-0R0   0  0 13  1  844.95199 5.36e-04 2.09e+08 
L0-0P1    0  1  0  0 1110.06235 5.74e-04 1.87e+09 
L0-0R1    0  1  0  2 1108.63258 1.08e-03 1.86e+09 
L1-0P1    0  1  1  0 1094.05013 1.97e-03 1.74e+09 
L1-0R1    0  1  1  2 1092.73018 3.79e-03 1.73e+09 
L2-0P1    0  1  2  0 1078.92335 3.92e-03 1.63e+09 
L2-0R1    0  1  2  2 1077.69642 7.69e-03 1.62e+09 
L3-0P1    0  1  3  0 1064.60298 5.95e-03 1.53e+09 
L3-0R1    0  1  3  2 1063.45724 1.19e-02 1.53e+09 
L4-0P1    0  1  4  0 1051.03014 7.62e-03 1.45e+09 
L4-0R1    0  1  4  2 1049.95673 1.56e-02 1.44e+09 
L5-0P1    0  1  5  0 1038.15468 8.67e-03 1.35e+09 
L5-0R1    0  1  5  2 1037.14676 1.81e-02 1.34e+09 
L6-0P1    0  1  6  0 1025.93281 9.10e-03 1.26e+09 
L6-0R1    0  1  6  2 1024.98483 1.96e-02 1.25e+09 
L7-0P1    0  1  7  0 1014.32501 9.00e-03 9.81e+08 
L7-0R1    0  1  7  2 1013.43388 2.05e-02 9.86e+08 
L8-0P1    0  1  8  0 1003.29452 8.45e-03 8.22e+08 
L8-0R1    0  1  8  2 1002.44918 1.82e-02 7.83e+08 
L9-0P1    0  1  9  0  992.80810 7.68e-03 6.59e+08 
L9-0R1    0  1  9  2  992.01330 1.83e-02 6.58e+08 
L10-0P1   0  1 10  0  982.83382 6.81e-03 6.32e+08 
L10-0R1   0  1 10  2  982.07227 1.36e-02 6.32e+08 
L11-0P1   0  1 11  0  973.34400 5.92e-03 6.09e+08 
L11-0R1   0  1 11  2  972.63113 1.40e-02 6.02e+08 
L12-0P1   0  1 12  0  964.30993 5.02e-03 4.68e+08 
L12-0R1   0  1 12  2  963.60651 7.08e-03 4.83e+08 
L13-0P1   0  1 13  0  955.70773 4.23e-03 4.60e+08 
L13-0R1   0  1 13  2  955.06423 9.89e-03 4.63e+08 
L14-0P1   0  1 14  0  947.51434 3.52e-03 4.16e+08 
L14-0R1   0  1 14  2  946.97866 1.97e-02 5.11e+08 
L15-0P1   0  1 15  0  939.70743 2.91e-03 3.82e+08 
L15-0R1   0  1 15  2  939.12322 6.57e-03 3.83e+08 
L16-0P1   0  1 16  0  932.26707 2.40e-03 3.71e+08 
L16-0R1   0  1 16  2  931.73200 7.53e-03 3.79e+08 
L17-0P1   0  1 17  0  925.17465 1.97e-03 3.17e+08 
L17-0R1   0  1 17  2  924.64256 4.17e-03 3.17e+08 
L18-0P1   0  1 18  0  918.41364 1.61e-03 3.02e+08 
L18-0R1   0  1 18  2  917.92131 4.42e-03 3.06e+08 
L19-0P1   0  1 19  0  911.96775 1.32e-03 2.73e+08 
L19-0R1   0  1 19  2  911.47898 2.49e-03 2.77e+08 
L20-0P1   0  1 20  0  905.82254 1.08e-03 2.62e+08 
L20-0R1   0  1 20  2  905.37148 2.74e-03 2.65e+08 
L21-0P1   0  1 21  0  899.96445 8.78e-04 2.50e+08 
L21-0R1   0  1 21  2  899.50869 1.23e-03 2.65e+08 
L22-0P1   0  1 22  0  894.38238 7.20e-04 2.36e+08 
L22-0R1   0  1 22  2  893.97062 1.74e-03 2.37e+08 
L23-0P1   0  1 23  0  889.06591 5.89e-04 2.25e+08 
L23-0R1   0  1 23  2  888.58243 2.53e-06 3.98e+08 
L24-0P1   0  1 24  0  884.00525 4.84e-04 2.07e+08 
L24-0R1   0  1 24  2  883.62875 1.11e-03 2.06e+08 
L25-0P1   0  1 25  0  879.19431 3.98e-04 1.92e+08 
L25-0R1   0  1 25  2  878.87518 1.82e-03 2.37e+08 
L26-0P1   0  1 26  0  874.62741 3.28e-04 1.75e+08 
L26-0R1   0  1 26  2  874.28560 7.12e-04 1.75e+08 
L27-0P1   0  1 27  0  870.30308 2.70e-04 1.62e+08 
L27-0R1   0  1 27  2  869.99870 9.13e-04 1.73e+08 
L28-0P1   0  1 28  0  866.22160 2.22e-04 1.49e+08 
L28-0R1   0  1 28  2  865.91407 4.59e-04 1.51e+08 
L29-0P1   0  1 29  0  862.38939 1.84e-04 1.38e+08 
L29-0R1   0  1 29  2  862.11579 5.65e-04 1.43e+08 
L30-0P1   0  1 30  0  858.81878 1.51e-04 1.27e+08 
L30-0R1   0  1 30  2  858.54891 3.00e-04 1.29e+08 
L31-0P1   0  1 31  0  855.53372 1.24e-04 1.16e+08 
L31-0R1   0  1 31  2  855.29883 3.75e-04 1.21e+08 
L32-0P1   0  1 32  0  852.57161 9.88e-05 1.03e+08 
L32-0R1   0  1 32  2  852.34779 1.94e-04 1.04e+08 
L33-0P1   0  1 33  0  849.99465 7.62e-05 8.73e+07 
L33-0R1   0  1 33  2  849.81262 2.33e-04 8.98e+07 
L34-0P1   0  1 34  0  847.91104 5.39e-05 6.64e+07 
L34-0R1   0  1 34  2  847.76009 1.05e-04 6.66e+07 
L35-0P1   0  1 35  0  846.49205 3.09e-05 3.77e+07 
L35-0R1   0  1 35  2  846.40106 7.64e-05 3.67e+07 
L36-0P1   0  1 36  0  845.87770 1.54e-05 1.15e+07 
L36-0R1   0  1 36  2  845.85337 5.31e-05 1.25e+07 
L37-0P1   0  1 37  0  845.70101 3.75e-07 4.65e+06 
L37-0R1   0  1 37  2  845.68313 2.02e-05 1.82e+07 
W0-0Q1    0  1  0  1 1009.76911 2.38e-02 1.18e+09 
W1-0Q1    0  1  1  1  986.79452 3.65e-02 1.16e+09 
W2-0Q1    0  1  2  1  966.09210 3.50e-02 1.14e+09 
W3-0Q1    0  1  3  1  947.41891 2.75e-02 1.12e+09 
W4-0Q1    0  1  4  1  930.57492 1.95e-02 1.11e+09 
W5-0Q1    0  1  5  1  915.39917 1.31e-02 1.09e+09 
W6-0Q1    0  1  6  1  901.76635 8.50e-03 1.08e+09 
W7-0Q1    0  1  7  1  889.58007 5.48e-03 1.07e+09 
W8-0Q1    0  1  8  1  878.77370 3.54e-03 1.02e+09 
W9-0Q1    0  1  9  1  869.31168 2.13e-03 1.00e+09 
W10-0Q1   0  1 10  1  861.19626 1.49e-03 6.56e+08 
W11-0Q1   0  1 11  1  854.47424 9.50e-04 6.27e+08 
W12-0Q1   0  1 12  1  849.26137 5.83e-04 4.12e+08 
W13-0Q1   0  1 13  1  845.80315 2.83e-04 2.20e+08 
W0-0R1    0  1  0  2 1008.49608 2.05e-02 1.18e+09 
W1-0R1    0  1  1  2  985.64040 3.30e-02 1.16e+09 
W2-0R1    0  1  2  2  965.06010 3.49e-02 1.13e+09 
W3-0R1    0  1  3  2  946.38260 1.29e-02 1.03e+09 
W4-0R1    0  1  4  2  929.68573 1.57e-02 1.10e+09 
W5-0R1    0  1  5  2  914.60456 1.15e-02 1.08e+09 
W6-0R1    0  1  6  2  901.06252 8.20e-03 1.06e+09 
W7-0R1    0  1  7  2  889.01746 6.26e-03 8.91e+08 
W8-0R1    0  1  8  2  878.15487 2.33e-03 9.73e+08 
W9-0R1    0  1  9  2  868.78294 1.82e-03 9.80e+08 
W10-0R1   0  1 10  2  860.74268 1.25e-03 6.33e+08 
W11-0R1   0  1 11  2  854.09525 8.07e-04 6.00e+08 
W12-0R1   0  1 12  2  848.96605 5.28e-04 4.29e+08 
W13-0R1   0  1 13  2  845.61812 1.79e-04 2.23e+08 
L0-0P2    0  2  0  1 1112.49505 6.91e-04 1.86e+09 
L0-0R2    0  2  0  3 1110.11916 9.31e-04 1.85e+09 
L1-0P2    0  2  1  1 1096.43641 2.37e-03 1.74e+09 
L1-0R2    0  2  1  3 1094.24179 3.32e-03 1.73e+09 
L2-0P2    0  2  2  1 1081.26308 4.70e-03 1.63e+09 
L2-0R2    0  2  2  3 1079.22237 6.82e-03 1.62e+09 
L3-0P2    0  2  3  1 1066.89734 7.10e-03 1.53e+09 
L3-0R2    0  2  3  3 1064.99142 1.06e-02 1.53e+09 
L4-0P2    0  2  4  1 1053.28084 9.02e-03 1.45e+09 
L4-0R2    0  2  4  3 1051.49508 1.40e-02 1.44e+09 
L5-0P2    0  2  5  1 1040.36383 1.02e-02 1.35e+09 
L5-0R2    0  2  5  3 1038.68661 1.65e-02 1.33e+09 
L6-0P2    0  2  6  1 1028.10236 1.06e-02 1.26e+09 
L6-0R2    0  2  6  3 1026.52468 1.80e-02 1.23e+09 
L7-0P2    0  2  7  1 1016.45777 1.02e-02 9.82e+08 
L7-0R2    0  2  7  3 1014.97329 1.89e-02 9.94e+08 
L8-0P2    0  2  8  1 1005.39000 9.91e-03 8.09e+08 
L8-0R2    0  2  8  3 1003.98209 1.66e-02 7.46e+08 
L9-0P2    0  2  9  1  994.87094 8.66e-03 6.59e+08 
L9-0R2    0  2  9  3  993.54741 1.71e-02 6.53e+08 
L10-0P2   0  2 10  1  984.86121 8.18e-03 6.32e+08 
L10-0R2   0  2 10  3  983.58834 1.16e-02 6.30e+08 
L11-0P2   0  2 11  1  975.34380 6.64e-03 6.07e+08 
L11-0R2   0  2 11  3  974.15518 1.31e-02 5.85e+08 
L12-0P2   0  2 12  1  966.27367 6.50e-03 4.71e+08 
L12-0R2   0  2 12  3  965.04464 1.58e-03 5.70e+08 
L13-0P2   0  2 13  1  957.65031 4.81e-03 4.61e+08 
L13-0R2   0  2 13  3  956.57851 9.22e-03 4.63e+08 
L14-0P2   0  2 14  1  949.35162 9.32e-03 6.37e+08 
L14-0R2   0  2 14  3  948.46919 1.30e-02 4.55e+08 
L15-0P2   0  2 15  1  941.59786 3.37e-03 3.82e+08 
L15-0R2   0  2 15  3  940.62537 6.04e-03 3.85e+08 
L16-0P2   0  2 16  1  934.14336 2.24e-03 3.76e+08 
L16-0R2   0  2 16  3  933.23845 6.89e-03 3.80e+08 
L17-0P2   0  2 17  1  927.01904 2.33e-03 3.16e+08 
L17-0R2   0  2 17  3  926.13130 3.71e-03 3.19e+08 
L18-0P2   0  2 18  1  920.24215 1.68e-03 3.03e+08 
L18-0R2   0  2 18  3  919.41722 4.17e-03 3.09e+08 
L19-0P2   0  2 19  1  913.76983 1.61e-03 2.74e+08 
L19-0R2   0  2 19  3  912.95062 2.01e-03 2.87e+08 
L20-0P2   0  2 20  1  907.61027 1.19e-03 2.63e+08 
L20-0R2   0  2 20  3  906.85716 2.59e-03 2.68e+08 
L21-0P2   0  2 21  1  901.72667 1.16e-03 2.54e+08 
L21-0R2   0  2 21  3  900.94270 5.62e-04 3.11e+08 
L22-0P2   0  2 22  1  896.13403 8.09e-04 2.37e+08 
L22-0R2   0  2 22  3  895.44634 1.62e-03 2.38e+08 
L23-0P2   0  2 23  1  890.78488 9.64e-04 2.46e+08 
L23-0R2   0  2 23  3  890.28050 3.76e-03 4.22e+08 
L24-0P2   0  2 24  1  885.72586 5.57e-04 2.07e+08 
L24-0R2   0  2 24  3  885.09792 1.02e-03 2.06e+08 
L25-0P2   0  2 25  1  880.92726 1.67e-04 2.55e+08 
L25-0R2   0  2 25  3  880.34795 1.46e-03 2.22e+08 
L26-0P2   0  2 26  1  876.32012 3.85e-04 1.75e+08 
L26-0R2   0  2 26  3  875.74992 6.37e-04 1.75e+08 
L27-0P2   0  2 27  1  871.99277 2.39e-04 1.69e+08 
L27-0R2   0  2 27  3  871.47374 8.29e-04 1.75e+08 
L28-0P2   0  2 28  1  867.89094 2.66e-04 1.49e+08 
L28-0R2   0  2 28  3  867.37754 4.00e-04 1.57e+08 
L29-0P2   0  2 29  1  864.05592 1.79e-04 1.41e+08 
L29-0R2   0  2 29  3  863.59328 5.24e-04 1.47e+08 
L30-0P2   0  2 30  1  860.47079 1.82e-04 1.28e+08 
L30-0R2   0  2 30  3  860.01938 2.55e-04 1.34e+08 
L31-0P2   0  2 31  1  857.18486 1.22e-04 1.18e+08 
L31-0R2   0  2 31  3  856.78900 3.41e-04 1.20e+08 
L32-0P2   0  2 32  1  854.21424 1.19e-04 1.03e+08 
L32-0R2   0  2 32  3  853.84154 1.65e-04 1.05e+08 
L33-0P2   0  2 33  1  851.64113 7.37e-05 8.87e+07 
L33-0R2   0  2 33  3  851.33590 2.13e-04 9.00e+07 
L34-0P2   0  2 34  1  849.55885 6.49e-05 6.63e+07 
L34-0R2   0  2 34  3  849.30847 8.55e-05 6.76e+07 
L35-0P2   0  2 35  1  848.15448 3.18e-05 3.74e+07 
L35-0R2   0  2 35  3  848.00704 6.55e-05 3.52e+07 
L36-0P2   0  2 36  1  847.57147 2.83e-05 1.51e+07 
L36-0R2   0  2 36  3  847.50898 2.82e-05 1.06e+07 
L37-0P2   0  2 37  1  847.38330 1.96e-06 6.11e+06 
L37-0R2   0  2 37  3  847.35027 2.22e-06 6.39e+06 
W0-0Q2    0  2  0  2 1010.93631 2.37e-02 1.18e+09 
W1-0Q2    0  2  1  2  987.97067 3.64e-02 1.16e+09 
W2-0Q2    0  2  2  2  967.27674 3.51e-02 1.14e+09 
W3-0Q2    0  2  3  2  948.61261 2.75e-02 1.12e+09 
W4-0Q2    0  2  4  2  931.77836 1.94e-02 1.10e+09 
W5-0Q2    0  2  5  2  916.61389 1.31e-02 1.09e+09 
W6-0Q2    0  2  6  2  902.99438 8.51e-03 1.08e+09 
W7-0Q2    0  2  7  2  890.82439 5.50e-03 1.07e+09 
W8-0Q2    0  2  8  2  880.03805 3.55e-03 1.02e+09 
W9-0Q2    0  2  9  2  870.60108 2.30e-03 1.00e+09 
W10-0Q2   0  2 10  2  862.51785 1.49e-03 6.33e+08 
W11-0Q2   0  2 11  2  855.83802 9.53e-04 6.19e+08 
W12-0Q2   0  2 12  2  850.68294 5.80e-04 4.39e+08 
W13-0Q2   0  2 13  2  847.31380 2.73e-04 2.47e+08 
W0-0P2    0  2  0  1 1012.16716 5.51e-03 1.18e+09 
W0-0R2    0  2  0  3 1009.02217 1.56e-02 1.18e+09 
W1-0P2    0  2  1  1  989.08427 8.10e-03 1.16e+09 
W1-0R2    0  2  1  3  986.23949 2.61e-02 1.15e+09 
W2-0P2    0  2  2  1  968.29033 7.23e-03 1.14e+09 
W2-0R2    0  2  2  3  965.78979 3.23e-02 1.04e+09 
W3-0P2    0  2  3  1  949.60656 8.92e-04 9.03e+08 
W3-0R2    0  2  3  3  947.10889 1.33e-02 1.09e+09 
W4-0P2    0  2  4  1  932.60171 4.77e-03 1.10e+09 
W4-0R2    0  2  4  3  930.44427 1.20e-02 1.09e+09 
W5-0P2    0  2  5  1  917.36698 2.95e-03 1.09e+09 
W5-0R2    0  2  5  3  915.42591 9.09e-03 1.07e+09 
W6-0P2    0  2  6  1  903.68131 1.79e-03 1.07e+09 
W6-0R2    0  2  6  3  901.96831 6.97e-03 1.01e+09 
W7-0P2    0  2  7  1  891.45620 9.36e-04 1.05e+09 
W7-0R2    0  2  7  3  889.70932 1.29e-03 8.66e+08 
W8-0P2    0  2  8  1  880.56314 1.07e-03 9.61e+08 
W8-0R2    0  2  8  3  879.12505 1.91e-03 9.80e+08 
W9-0P2    0  2  9  1  871.08287 5.24e-04 9.89e+08 
W9-0R2    0  2  9  3  869.81262 1.42e-03 9.63e+08 
W10-0P2   0  2 10  1  862.93882 3.53e-04 6.55e+08 
W10-0R2   0  2 10  3  861.84266 9.79e-04 6.08e+08 
W11-0P2   0  2 11  1  856.19173 2.24e-04 6.20e+08 
W11-0R2   0  2 11  3  855.27601 6.33e-04 5.54e+08 
W12-0P2   0  2 12  1  850.95976 1.25e-04 4.09e+08 
W12-0R2   0  2 12  3  850.24947 4.17e-04 4.44e+08 
W13-0P2   0  2 13  1  847.48944 5.30e-05 2.09e+08 
L0-0P3    0  3  0  2 1115.89495 7.39e-04 1.86e+09 
L0-0R3    0  3  0  4 1112.58269 8.47e-04 1.84e+09 
L1-0P3    0  3  1  2 1099.78504 2.53e-03 1.73e+09 
L1-0R3    0  3  1  4 1096.72284 3.06e-03 1.72e+09 
L2-0P3    0  3  2  2 1084.55788 5.01e-03 1.62e+09 
L2-0R3    0  3  2  4 1081.70847 6.36e-03 1.61e+09 
L3-0P3    0  3  3  2 1070.13802 7.54e-03 1.53e+09 
L3-0R3    0  3  3  4 1067.47556 1.00e-02 1.52e+09 
L4-0P3    0  3  4  2 1056.46845 9.56e-03 1.44e+09 
L4-0R3    0  3  4  4 1053.97290 1.34e-02 1.43e+09 
L5-0P3    0  3  5  2 1043.50007 1.08e-02 1.34e+09 
L5-0R3    0  3  5  4 1041.15563 1.58e-02 1.33e+09 
L6-0P3    0  3  6  2 1031.18957 1.11e-02 1.25e+09 
L6-0R3    0  3  6  4 1028.98337 1.74e-02 1.18e+09 
L7-0P3    0  3  7  2 1019.49914 1.05e-02 9.86e+08 
L7-0R3    0  3  7  4 1017.42099 1.84e-02 9.93e+08 
L8-0P3    0  3  8  2 1008.38330 1.04e-02 7.83e+08 
L8-0R3    0  3  8  4 1006.41124 1.57e-02 7.04e+08 
L9-0P3    0  3  9  2  997.82414 8.76e-03 6.58e+08 
L9-0R3    0  3  9  4  995.96971 1.67e-02 6.38e+08 
L10-0P3   0  3 10  2  987.76690 8.93e-03 6.32e+08 
L10-0R3   0  3 10  4  985.96129 8.28e-03 6.38e+08 
L11-0P3   0  3 11  2  978.21649 6.73e-03 6.02e+08 
L11-0R3   0  3 11  4  976.55048 1.29e-02 5.33e+08 
L12-0P3   0  3 12  2  969.08841 8.16e-03 4.83e+08 
L12-0R3   0  3 12  4  967.67332 2.27e-02 5.64e+08 
L13-0P3   0  3 13  2  960.44909 4.93e-03 4.63e+08 
L13-0R3   0  3 13  4  958.94507 8.97e-03 4.46e+08 
L14-0P3   0  3 14  2  952.27248 6.57e-04 5.11e+08 
L14-0R3   0  3 14  4  950.81745 1.09e-02 4.21e+08 
L15-0P3   0  3 15  2  944.32933 3.52e-03 3.83e+08 
L15-0R3   0  3 15  4  942.96335 5.74e-03 3.82e+08 
L16-0P3   0  3 16  2  936.85626 2.05e-03 3.79e+08 
L16-0R3   0  3 16  4  935.57482 6.58e-03 3.58e+08 
L17-0P3   0  3 17  2  929.68893 2.51e-03 3.17e+08 
L17-0R3   0  3 17  4  928.43821 3.31e-03 3.21e+08 
L18-0P3   0  3 18  2  922.89439 1.62e-03 3.06e+08 
L18-0R3   0  3 18  4  921.73069 4.08e-03 3.00e+08 
L19-0P3   0  3 19  2  916.38231 1.83e-03 2.77e+08 
L19-0R3   0  3 19  4  915.21235 1.35e-03 3.09e+08 
L20-0P3   0  3 20  2  910.20914 1.17e-03 2.65e+08 
L20-0R3   0  3 20  4  909.14909 2.53e-03 2.67e+08 
L21-0P3   0  3 21  2  904.28374 1.45e-03 2.65e+08 
L21-0R3   0  3 21  4  903.00825 1.65e-04 6.16e+08 
L22-0P3   0  3 22  2  898.68689 8.27e-04 2.37e+08 
L22-0R3   0  3 22  4  897.71958 1.57e-03 2.38e+08 
L23-0P3   0  3 23  2  893.24187 1.83e-03 3.98e+08 
L23-0R3   0  3 23  4  892.49568 2.47e-03 2.78e+08 
L24-0P3   0  3 24  2  888.23625 5.84e-04 2.06e+08 
L24-0R3   0  3 24  4  887.35349 9.59e-04 2.07e+08 
L25-0P3   0  3 25  2  883.43312 1.76e-04 2.37e+08 
L25-0R3   0  3 25  4  882.60428 1.29e-03 2.06e+08 
L26-0P3   0  3 26  2  878.79594 4.14e-04 1.75e+08 
L26-0R3   0  3 26  4  877.99118 5.77e-04 1.80e+08 
L27-0P3   0  3 27  2  874.46481 2.13e-04 1.73e+08 
L27-0R3   0  3 27  4  873.72521 7.84e-04 1.68e+08 
L28-0P3   0  3 28  2  870.33823 2.92e-04 1.51e+08 
L28-0R3   0  3 28  4  869.61165 3.37e-04 1.66e+08 
L29-0P3   0  3 29  2  866.50112 1.65e-04 1.43e+08 
L29-0R3   0  3 29  4  865.84539 5.03e-04 1.47e+08 
L30-0P3   0  3 30  2  862.89794 2.03e-04 1.29e+08 
L30-0R3   0  3 30  4  862.25732 2.02e-04 1.36e+08 
L31-0P3   0  3 31  2  859.61491 1.14e-04 1.21e+08 
L31-0R3   0  3 31  4  859.05443 3.29e-04 1.20e+08 
L32-0P3   0  3 32  2  856.63407 1.34e-04 1.04e+08 
L32-0R3   0  3 32  4  856.10677 1.27e-04 1.11e+08 
L33-0P3   0  3 33  2  854.07337 6.83e-05 8.98e+07 
L33-0R3   0  3 33  4  853.64394 1.99e-04 8.78e+07 
L34-0P3   0  3 34  2  852.00023 7.26e-05 6.66e+07 
L34-0R3   0  3 34  4  851.64831 6.33e-05 7.16e+07 
L35-0P3   0  3 35  2  850.62758 3.01e-05 3.67e+07 
L35-0R3   0  3 35  4  850.43010 5.59e-05 3.06e+07 
L36-0P3   0  3 36  2  850.07442 1.27e-05 1.25e+07 
L36-0R3   0  3 36  4  849.99638 1.78e-05 8.11e+06 
L37-0P3   0  3 37  2  849.90247 2.35e-06 1.82e+07 
L37-0R3   0  3 37  4  849.84685 6.17e-06 5.34e+06 
W0-0Q3    0  3  0  3 1012.67781 2.38e-02 1.18e+09 
W1-0Q3    0  3  1  3  989.72585 3.66e-02 1.16e+09 
W2-0Q3    0  3  2  3  969.04540 3.51e-02 1.14e+09 
W3-0Q3    0  3  3  3  950.39508 2.75e-02 1.12e+09 
W4-0Q3    0  3  4  3  933.57580 1.95e-02 1.10e+09 
W5-0Q3    0  3  5  3  918.42874 1.30e-02 1.09e+09 
W6-0Q3    0  3  6  3  904.82965 8.54e-03 1.08e+09 
W7-0Q3    0  3  7  3  892.68450 5.52e-03 1.07e+09 
W8-0Q3    0  3  8  3  881.92871 3.57e-03 1.01e+09 
W9-0Q3    0  3  9  3  872.52992 2.31e-03 9.96e+08 
W10-0Q3   0  3 10  3  864.49581 1.50e-03 6.02e+08 
W11-0Q3   0  3 11  3  857.88059 9.55e-04 5.91e+08 
W12-0Q3   0  3 12  3  852.81446 5.77e-04 4.75e+08 
W0-0P3    0  3  0  2 1014.50221 8.28e-03 1.18e+09 
W0-0R3    0  3  0  4 1010.12754 1.38e-02 1.17e+09 
W1-0P3    0  3  1  2  991.37661 1.19e-02 1.16e+09 
W1-0R3    0  3  1  4  987.44386 2.57e-02 1.13e+09 
W2-0P3    0  3  2  2  970.55859 9.74e-03 1.13e+09 
W2-0R3    0  3  2  4  966.77812 7.58e-03 1.03e+09 
W3-0P3    0  3  3  2  951.66974 1.27e-02 1.03e+09 
W3-0R3    0  3  3  4  948.41702 1.28e-02 1.10e+09 
W4-0P3    0  3  4  2  934.78745 7.09e-03 1.10e+09 
W4-0R3    0  3  4  4  931.80883 1.08e-02 1.08e+09 
W5-0P3    0  3  5  2  919.54167 4.34e-03 1.08e+09 
W5-0R3    0  3  5  4  916.87451 8.56e-03 1.04e+09 
W6-0P3    0  3  6  2  905.85413 2.50e-03 1.06e+09 
W6-0R3    0  3  6  4  903.65681 6.60e-03 7.00e+08 
W7-0P3    0  3  7  2  893.68148 6.97e-04 8.91e+08 
W7-0R3    0  3  7  4  891.29801 2.10e-03 9.95e+08 
W8-0P3    0  3  8  2  882.70532 1.45e-03 9.73e+08 
W8-0R3    0  3  8  4  880.73291 1.79e-03 9.77e+08 
W9-0P3    0  3  9  2  873.23653 8.41e-04 9.80e+08 
W9-0R3    0  3  9  4  871.49607 1.31e-03 9.14e+08 
W10-0P3   0  3 10  2  865.11402 5.21e-04 6.33e+08 
W10-0R3   0  3 10  4  863.61506 9.09e-04 5.90e+08 
W11-0P3   0  3 11  2  858.39916 3.30e-04 6.00e+08 
W11-0R3   0  3 11  4  857.15187 5.89e-04 4.20e+08 
W12-0P3   0  3 12  2  853.21830 1.81e-04 4.29e+08 
W12-0R3   0  3 12  4  852.26222 3.91e-04 3.45e+08 
W13-0P3   0  3 13  2  849.83681 9.44e-05 2.23e+08 
L0-0P4    0  4  0  3 1120.24748 7.57e-04 1.85e+09 
L0-0R4    0  4  0  5 1116.01239 7.78e-04 1.83e+09 
L1-0P4    0  4  1  3 1104.08118 2.60e-03 1.73e+09 
L1-0R4    0  4  1  5 1100.16121 2.86e-03 1.71e+09 
L2-0P4    0  4  2  3 1088.79232 5.16e-03 1.62e+09 
L2-0R4    0  4  2  5 1085.14221 6.04e-03 1.60e+09 
L3-0P4    0  4  3  3 1074.30956 7.74e-03 1.53e+09 
